CustomerID,Churn,AccountWeeks,ContractRenewal,DataPlan,DataUsage,CustServCalls,DayMins,DayCalls,MonthlyCharge,OverageFee,RoamMins,churn_probability,predicted_churn
1,FALSE,128,TRUE,TRUE,2.7,1,265.1,110,89,9.87,10,0.01,0
2,FALSE,107,TRUE,TRUE,3.7,1,161.6,123,82,9.78,13.7,0.085,0
3,FALSE,137,TRUE,FALSE,0,0,243.4,114,52,6.06,12.2,0.005,0
4,FALSE,84,FALSE,FALSE,0,2,299.4,71,57,3.1,6.6,0.16,0
5,FALSE,75,FALSE,FALSE,0,3,166.7,113,41,7.42,10.1,0.2,0
6,FALSE,118,FALSE,FALSE,0,0,223.4,98,57,11.03,6.3,0.055,0
7,FALSE,121,TRUE,TRUE,2.03,3,218.2,88,87.3,17.43,7.5,0.02,0
8,FALSE,147,FALSE,FALSE,0,0,157,79,36,5.16,7.1,0.12,0
9,FALSE,117,TRUE,FALSE,0.19,1,184.5,97,63.9,17.58,8.7,0.225,0
10,FALSE,141,FALSE,TRUE,3.02,0,258.6,84,93.2,11.1,11.2,0.065,0
11,TRUE,65,TRUE,FALSE,0.29,4,129.1,137,44.9,11.43,12.7,0.915,1
12,FALSE,74,TRUE,FALSE,0.34,0,187.7,127,49.4,8.17,9.1,0.01,0
13,FALSE,168,TRUE,FALSE,0,1,128.8,96,31,5.25,11.2,0.025,0
14,FALSE,95,TRUE,FALSE,0.44,3,156.6,88,52.4,12.38,12.3,0.01,0
15,FALSE,62,TRUE,FALSE,0,4,120.7,70,47,15.36,13.1,0.15,0
16,TRUE,161,TRUE,FALSE,0,4,332.9,67,84,15.89,5.4,0.905,1
17,FALSE,85,TRUE,TRUE,3.73,1,196.4,139,95.3,14.05,13.8,0.025,0
18,FALSE,93,TRUE,FALSE,0,3,190.7,114,51,10.91,8.1,0.01,0
19,FALSE,76,TRUE,TRUE,2.7,1,189.7,66,78,10.64,10,0,0
20,FALSE,73,TRUE,FALSE,0,1,224.4,90,52,7.98,13,0,0
21,FALSE,147,TRUE,FALSE,0.31,0,155.1,117,50.1,11.99,10.6,0.005,0
22,TRUE,77,TRUE,FALSE,0,5,62.4,89,26,8.5,5.7,0.985,1
23,FALSE,130,TRUE,FALSE,0,0,183,112,38,3.65,9.5,0.015,0
24,FALSE,111,TRUE,FALSE,0.39,2,110.4,103,34.9,6.87,7.7,0.015,0
25,FALSE,132,TRUE,FALSE,0,0,81.1,86,35,12.26,10.3,0.075,0
26,FALSE,174,TRUE,FALSE,0,3,124.3,76,45,13.86,15.5,0.025,0
